CUI	UMLS_PREF	INCORRECT
C1289279	entire pupil of both eyes	eyes pupil
C1305633	entire posterior tibial muscle tendon	of tibialis posterior tendon
C1140091	ai/rheum	aired
C0012155	diet	dietings
C0392133	poisoning, diagnostic agents	diagnostic agents
C1269596	entire inferior alveolar nerve	alveolar inferior nerve
C0458434	entire detrusor muscle of urinary bladder (body structure)	detrusor muscles
C1305730	entire descemet's membrane	descemet's membrane
C0024752	workforce	personnels
C1284110	entire cervical spinal column	cervical spinal column
C1150661	pyruvate carboxylase activity	pyruvate carboxylase
C1278869	entire deep peroneal nerve	deep nerves peroneal
C0243168	margin of safety	safety margin
C1108678	death rate aspects	deaths rate
C1279722	entire skin of all toes	skin toes
C1281788	entire cytotrophoblast	cytotrophoblast
C1149736	cytidine deaminase activity	cytidine deaminase
C1289022	entire right lower eyelid	eyelid lower right
C1305757	entire medulla of kidney	medulla renal
C1278976	entire long saphenous vein	great saphenous vein
C1305305	entire tooth root	rooted tooth
C1305305	entire tooth root	root tooth
C1280271	entire cricothyroid muscle	cricothyroid muscle
C1149795	creatinase activity	creatinase
C1305095	entire costochondral junction	costochondral junctions
C1305095	entire costochondral junction	costochondral joint
C0220812	cost aspects	costing
C1269587	entire superior pole of kidney	upper pole kidney
C1269008	entire coronary artery	arteris coronary
C1267200	entire falx inguinalis	conjoined tendons
C1269053	entire talus	talu
C0348080	condition (attribute)	conditioned
C0028678	nursing therapy	nursing therapies
C1281569	entire colon	coloning
C1268965	entire celiac artery	coeliac artery
C0243173	urinary levels	urinary levels
C0699910	study of epidemiology	epidemiology studying
C1278986	entire clitoris	clitorys
C1278986	entire clitoris	clitories
C1278986	entire clitoris	clitori
C1321525	entire cisterna ambiens	cisterna ambiens
C1289248	entire ciliary artery	ciliary artery
C1280553	entire chorion laeve	chorion laeve
C0220907	salaried	salarys
C1149381	chemoattractant activity	chemoattractant
C0243074	chemical analysis	chemical screening
C1149553	chaperonin atpase activity	chaperonin
C1305622	entire central vein of the retina	central vein retinal
C1305622	entire central vein of the retina	central retinal vein
C1281307	entire central retinal artery	central retinal artery
C0447273	entire maxillary right central incisor tooth (body structure)	central incisor
C0243091	cellular morphology	cellular morphology
C0448476	entire skeletal muscle of lower leg (body structure)	of lower leg muscle
C0580931	in care (finding)	careing
C1280778	entire cardiac incisure of stomach	cardiac incisure of stomach
C1280906	entire cardiac chamber	cardiac chamber
C1288726	entire bone of upper arm	bone of arm
C1152588	calpain inhibitor activity	calpain inhibitor
C1289692	entire calcar avis	calcar avis
C0243177	chemical content	chemical content
C1269087	entire subacromial bursa	bursa subacromial
C1278814	entire pharyngeal bursa	bursa pharyngeal
C0448899	entire skin of knee	knee skin
C1280839	entire incus	incu
C1281590	entire head	headeds
C1281091	entire capsule of kidney	capsule kidney
C1266909	entire bony skeleton	bone system
C1282773	entire long bone	long bones
C1276270	entire blood vessel of head	blood head vessel
C0243074	chemical analysis	chemical screen
C0002778	analysis of substances	analysys
C1281484	entire embryo stage	embryos stage
C1321549	entire dome of urinary bladder (body structure)	bladder dome
C1281143	entire lobe of prostate	lobes prostate
C1280991	entire frontal region	frontal regions
C0262950	skeletal bone	boned
C0391978	bone tissue	boned
C1266908	entire bone (organ)	boned
C1266909	entire bony skeleton	boned
C0225143	entire bifurcated ligament	bifurcate ligament
C1305062	entire biceps femoris muscle	bicep femoris
C0224235	entire biceps brachii	bicep brachii
C1150071	beta-n-acetylhexosaminidase activity	beta-n-acetylhexosaminidase
C1321510	entire basal nuclei	basal ganglias
C1282012	entire subarachnoid cistern	cistern subarachnoid
C1283835	entire axillary fossa	axillary fossa
C1305327	entire gravid uterus	gravid uterus
C0243066	atresia	atresias
C1305380	entire atlantooccipital joint	atlanto-occipital joint
C0028708	nutrition assessment	assessment of nutritional status
C1278935	entire descending thoracic aorta	descending thoracic aorta
C1280703	entire arytenoid cartilage	arytenoid cartilage
C1152637	aryl hydrocarbon receptor activity	aryl hydrocarbon receptor
C1140621	leg	anatomy legs
C1280106	entire artery of head, neck and/or brain	arteries head neck
C1269536	entire ductus arteriosus	arterial duct
C1280521	entire capillary blood vessel (organ)	capillaris
C1269899	entire arcuate popliteal ligament	arcuate popliteal ligament
C1282377	entire apex of lung	apex lungs
C0175676	use of ultrasonography	ultrasonic diagnosis
C0432616	blood group antibody A (substance)	anty
C1153198	antiporter activity	antiporter
C1269020	entire anterior tibial artery	anterior tibial artery
C1280217	entire anterior longitudinal ligament	anterior longitudinal ligament
C1278938	entire anterior communicating artery	anterior arteries communicating
C1149113	gastrin receptor activity	gastrin receptor
C1278282	entire angular artery	angular artery
C1278938	entire anterior communicating artery	anterior artery communicating
C1281370	entire right common iliac artery	artery common iliac right
C1304990	entire anconeus muscle	anconeus
C0016504	pes	anatomy feet
C1269045	entire skeletal muscle of neck	of neck muscle
C1279044	entire skeletal muscle of back	of back muscle
C0002809	anatomy & histology	anatomy histology
C0000769	teratologic	abnormalitis
C0549076	assessment: safety	assessment safety
C0002778	analysis of substances	analysising
C1281095	entire amygdaloid nucleus	amygdaloid nucleus
C1149735	amp deaminase activity	amp deaminase
C0228319	anteromedial nucleus	amming
C0871208	rating	rateings
C1279457	entire alveolar epithelium	alveolar epithelium
C1150077	alpha-mannosidase activity	alpha-mannosidase
C0038894	surgery specialty	surgeri
C0038895	surgical aspects	surgeri
C0040745	entire transplanted kidney (body structure)	kidneys transplants
C1280851	entire os zygomaticum	bone zygomatic
C1280959	entire suprarenal vein	adrenal vein
C1280959	entire suprarenal vein	adrenal veins
C1280649	entire ciliary body	body ciliary
C1150889	adenylosuccinate lyase activity	adenylosuccinate lyase
C1150501	adenosine 5-phosphotransferase activity	adenosine kinase
C1283367	entire glomus	glomu
C1305794	entire right margin of heart	acute margin
C0243079	microvasculature	microvasculature
C1305378	entire achilles tendon	achilles tendo
C1305770	entire parasympathetic nervous system	nervous parasympathetic system
C0392886	acetoacetate measurement	acetoacetate
C1305276	entire middle finger	finger middle
C0243091	cellular morphology	cells morphology
C1305912	entire abdominal viscera	abdominal viscera
C1305394	entire suture joint of skull	cranial suture
C0243140	histopathological aspects	histopathologies
C0034571	roentgenographic	xd
C1279016	entire skin of wrist	wrist skin
C1151216	d-xylulose reductase activity	xylitol dehydrogenase
C0034571	roentgenographic	x raying
C0034571	roentgenographic	x rayed
C1305915	entire xiphoid process of sternum	process xiphoid
C1151271	xanthine dehydrogenase activity	xanthine dehydrogenase
C1280209	entire joint of thumb	joints thumb
C0459725	entire hair (body structure)	hair humans
C0222183	entire skin of female genitalia	skin vulva
C0221979	entire hair of scalp	hairs scalp
C1278998	entire skin of head	heads skin
C1269003	entire pancreatic duct	duct pancreatic
C1281170	entire corpus uteri	body uterus
C1279039	entire peritoneal cavity	cavity peritoneal
C1269567	entire long thoracic nerve	long nerve thoracic
C0030193	pain	pains types
C1282680	entire virchow-robin space	space virchow-robin
C1305908	entire trigeminal nerve	nerve trigeminal
C1278873	entire stellate ganglion	ganglion stellate
C0458332	entire cerebral lobe (body structure)	cerebral lobe
C1305733	entire endocrine gland	endocrine organ
C1268233	entire right hip region	hip right
C1279862	entire shoulder girdle	girdles shoulder
C0001688	adverse effects	effects side treatment
C0580931	in care (finding)	care ins
C1269537	entire brain	and brain
C1321540	entire vastus medialis muscle	medialis vastus
C1278994	entire skin of forehead	skin forehead
C1305933	entire vitreous humor	humors vitreous
C1148780	cholecaliferol receptor activity	vitamin d3 receptor
C0079164	contraindications	counterindication
C1268089	entire viscus	viscu
C0018787	heart	pericardium heart
C1305734	entire facial nerve	vii cranial nerve
C1289171	entire vestibule of mouth	vestibule mouth
C1305911	entire vestibular nucleus	vestibular nucleus
C1305416	entire spinous process of vertebra (body structure)	vertebral spinous process
C1269049	entire cervical vertebra	cervical vertebras
C0444595	entire skin of perianal area (body structure)	perianal skin
C0205041	cardio-	cardio-
C1282632	entire vellus hair	hairs vellus
C1280179	entire systemic vein (body structure)	systemic veins
C1282445	entire vein of hand	hand vein
C1305366	entire artery of extremity (body structure)	arteries limbs
C1280799	entire valve of heister	heister valves
C1305910	entire vagus nerve	vagus nerve x
C1280154	entire vaginal artery	vaginal artery
C0687129	encounter due to vagabond status	vagabond
C0001688	adverse effects	effects sides
C1280844	entire uterine ligament	uterine ligament
C1283917	entire uterine adnexa	uterine adnexa
C0042037	in urine	urine in
C1306664	entire urethral gland	urethral gland
C1305310	entire ureteral orifice	ureteric orifice
C1274040	result (navigational concept)	resulted
C0447210	entire maxillary teeth (body structure)	upper teeth
C1268255	entire right upper arm	upper right arm
C1269587	entire superior pole of kidney	kidney pole upper
C0448430	entire skeletal muscle of upper limb (body structure)	upper limb muscles
C0448430	entire skeletal muscle of upper limb (body structure)	upper limb muscle
C1304926	entire proximal epiphysis of femur	upper femoral epiphysis
C1152647	u-plasminogen activator receptor activity	upar
C1305918	entire rectus abdominis muscle	abdomini rectus
C1280319	entire uncinate process of pancreas	uncinate process pancreas
C1280319	entire uncinate process of pancreas	uncinate process of pancreas
C1288598	entire umbilical ring	rings umbilical
C0220934	ultrasonic	ultrasounded
C1282783	entire collateral ligament	ligament collateral
C1269608	entire shaft of ulna	ulna diaphysis
C1151028	oxidoreductase activity	oxidoreductase
C0038895	surgical aspects	surgicals
C1304964	entire sternohyoid muscle	sternohyoid
C1282759	entire tunnel of tendon	tunnel tendon
C1269543	entire carpal canal	carpals tunnels
C1282869	entire fetal tunica vasculosa lentis (body structure)	tunica vasculosa lentis
C1305779	entire duodenal papilla	papilla duodenal
C0448271	entire vesalian bone (body structure)	fifth metatarsal tuberosity
C1269563	entire central nervous system	system nervous central
C1269560	entire nervous system	system nervous
C1269055	entire sternoclavicular joint	joint sternoclavicular
C1150854	tryptophanase activity	tryptophanase
C1152594	trypsin inhibitor activity	trypsin inhibitor
C1280632	entire trunk	trunking
C1280209	entire joint of thumb	jointed thumbs
C1150324	triose-phosphate isomerase activity	triose-phosphate isomerase
C1321538	entire trigone of bladder	bladder trigone
C1150090	trehalase activity	trehalase
C1282786	entire meniscus of joint	joint meniscus
C1305027	entire trapezius muscle	trapeziu
C1305610	entire body of third lumbar vertebra (body structure)	body l3 vertebral
C1269591	entire transverse cervical ligament	transverse cervical ligament
C1278864	entire sural nerve	nerve sural
C0040745	entire transplanted kidney (body structure)	transplant kidney
C1305028	entire latissimus dorsi muscle	dorsi latissimus
C1304985	entire teres major muscle	major teres
C1153703	trna activity	transfer rna
C0523509	apolipoprotein b assay	apoprotein b
C0687129	encounter due to vagabond status	tramp
C0994454	home care aspects	cares home
C1279402	entire tracheal muscle	muscles tracheal
C0040539	toxicity aspects	toxiciti
C0448472	entire posterior muscle of thigh	muscle hamstring
C1288876	entire tendon of finger	tendon finger
C1280300	entire tendon of biceps femoris	biceps femoris tendon
C1305907	entire deciduous tooth	tooth milk
C1280924	entire lingual tonsil	tonsil lingual
C1279869	entire tendon of toe	toe tendon
C0025664	methodology	methodologies
C0969625	methodology aspects	methodologies
C0220927	tissue distribution aspects	tissue distribution
C1269072	entire femorotibial joint	tibiofemoral joint
C1278878	entire thyroid gland	glands thyroids
C1278707	entire thyroid notch	thyroid notch
C1304967	entire thyrohyoid muscle	thyrohyoid
C1281778	entire thyroglossal duct	ducts thyroglossal
C1281247	entire skin of thumb	thumb skin
C1281370	entire right common iliac artery	right common iliac artery
C1267298	entire right middle cerebral artery	artery cerebral middle right
C1281636	entire thyroid vein	vein thyroid
C1281328	entire vein of thorax	thoracic vein
C0448268	entire head of third metatarsal bone (body structure)	third metatarsal head
C0223993	entire third metatarsal	third metatarsal
C1279014	entire skin of elbow	elbows skin
C1280215	entire ligamentum flavum	flavum ligamentum
C1268976	entire submandibular gland	gland submaxillary
C0033910	psychological aspects	aspect psychological
C0459725	entire hair (body structure)	hair human
C0243127	biochemical turnover	turnovers
C1269563	entire central nervous system	central nervou system
C1000974	agrostis	bents
C1305314	entire thoracic disc (body structure)	disc thoracic
C0039601	testosterone	testosterone total
C1278981	entire testis	testiing
C1280142	entire testicular artery	arteries testicular
C1281570	entire heart	hearting
C1282633	entire terminal hair	terminal hair
C1269572	entire terminal bronchiole	terminal bronchiole
C0034619	radiotherapeutic	therapy radiation
C1267145	entire tendon of thumb	tendon thumb
C1267108	entire compound joint	compounds joints
C1280937	entire tendon of todaro	tendon of todaro
C1281003	entire parotid lymph node	parotid lymph node
C1280043	entire left upper quadrant of abdomen	abdomen upper left quadrant
C1269048	entire temporomandibular joint	temporomandibular joint tmj
C1148735	dna helicase activity	dna helicase
C1305071	entire peroneus brevis muscle	brevis peroneus
C0225080	entire collateral carpal radial ligament	collateral ligament radial
C1269553	entire atrioventricular node	tawara node
C0446582	entire tarsal canal (body structure)	tarsal sinus
C1289233	entire tarsal muscle	tarsal muscle
C0600686	related compounds	related compounds
C1305593	entire body of third thoracic vertebra (body structure)	t3 vertebral body
C0223371	entire t12 vertebra	t12 vertebra
C1321532	entire midcarpal joint	midcarpal joint
C0033107	prevention & control	preventive measure
C1305773	entire symphysis pubis	pubi symphysis
C1280245	entire body of mandible	body mandible
C1281245	entire right tonsil (palatine)	right tonsil
C0721966	Nasal brand of oxymetazoline	nasals
C1280315	entire pelvic lymph node	lymph node pelvic
C1281329	entire abdominal vein	abdominal vein
C1281214	entire ophthalmic nerve	ophthalmic nerve
C1289264	entire cornea of both eyes	cornea eye
C1281644	entire upper lobe of lung	lobe lungs upper
C0038895	surgical aspects	surgical aspect
C1278858	entire pudendal nerve	nerve pudendal
C1305384	entire carotid artery	arterys carotid
C1288608	entire supravesical fossa	supravesical fossa
C1280213	entire supraspinous ligament	supraspinous ligament
C1289017	entire suprasellar region	suprasellar region
C1267419	entire suprascapular vein	suprascapular vein
C1280309	entire supraclavicular lymph node	lymph nodes supraclaviculars
C1280309	entire supraclavicular lymph node	supraclavicular lymph node
C1289559	entire suprachiasmatic nucleus	nucleus suprachiasmatic
C0228319	anteromedial nucleus	aming
C1281074	entire superior temporal sulcus	superior temporal sulcus
C1305101	entire superior oblique muscle tendon	superior oblique tendon
C1269898	entire superior hypogastric plexus	superior hypogastric plexus
C1278955	entire superior gluteal artery	superior gluteal artery
C1150282	subtilisin activity	subtilisin
C0243146	pharmacologic action	action pharmacologic
C1283902	entire submandibular area	submandibular area
C1267425	entire sublingual vein	sublingual vein
C1289178	entire gland of mucous membrane of tongue	lingual gland
C1281349	entire subdeltoid bursa	subdeltoid bursa
C0448317	entire stylopharyngeus muscle (body structure)	stylopharyngeus
C1279086	entire styloid process of radius	styloid process of radius
C1304978	entire styloglossus muscle	styloglossus
C0935919	cellular structure aspects	cell structures
C0220830	financial management aspects	financial management
C1284948	entire processus vaginalis peritonei (body structure)	nuck canal
C1278920	entire stomach	stomaching
C1269645	entire body of sternum	sternum body
C1304959	entire sternocleidomastoid muscle	sternomastoids
C1284115	entire cerebral white matter	white matter cerebral
C1281715	entire lumbar spinal canal	spinal lumbar canal
C1268965	entire celiac artery	artery celiac
C1278953	entire popliteal artery	artery popliteal
C1280351	entire lower uterine segment	lower segment uterine
C1267336	entire right renal artery	artery renal right
C1278896	entire nose	nosed
C1280695	entire stapes	staping
C0458686	entire base of stapes (body structure)	stapes footplate
C0038137	standards characteristics	standarded
C1282789	entire squamous suture	squamous suture
C0582798	entire collateral ulnar ligament of elbow (body structure)	collateral elbow ligament medial
C1305494	entire spinous process of seventh cervical vertebra (body structure)	c7 process spinous
C0444573	entire sacral spine (body structure)	spine sacral
C0153647	malignant neoplasm of spinal meninges	spinal meninges
C0154035	benign neoplasm of spinal meninges	spinal meninges
C0496934	neoplasm of uncertain or unknown behavior of spinal meninges	spinal meninges
C1305244	entire first sacral vertebra	s1 vertebra
C1278902	entire sphenoid sinus	sinus sphenoid
C0009253	coitus	sexing
C0037842	sperm count procedure	sperm number
C0458688	entire interstitial tissue of prostate (body structure)	prostatic stroma
C0448435	entire muscle of upper arm (body structure)	arms muscles
C0448476	entire skeletal muscle of lower leg (body structure)	muscle lower leg
C1268973	entire inner ear	ears inner
C1289327	entire nasal fossae	fossae nasal
C0006104	brain	braing
C1279016	entire skin of wrist	skin wrist
C0222183	entire skin of female genitalia	skin of vulva
C1281247	entire skin of thumb	skin thumb
C1280203	entire skin of eyebrow	skin eyebrow
C1278995	entire skin of cheek	skin cheek
C1279002	entire skin of buttock	buttocks skin
C1279019	entire skin of ankle	skin ankle
C0687741	skate (dietary)	skate
C1150841	pyruvate decarboxylase activity	pyruvate decarboxylase
C1282853	entire venous sinus	sinus venous
C1269893	entire coronary sinus	sinus coronary
C0242821	human body	figure human
C0001688	adverse effects	effect side treatment
C1152171	sialyltransferase activity	sialyltransferase
C1283792	entire shoulder region	shouldering
C1269006	entire tricuspid valve	valve tricuspid
C0332287	in addition to	withing
C1281578	entire shaft of tibia	shaft tibia
C1281576	entire shaft of radius	shaft of radius
C1280236	entire seventh rib	seventh rib
C0392688	nutritional deficiency (finding)	deficiency acquired
C1150239	serine protease activity	serine protease
C1278865	entire common peroneal nerve	common nerve peroneal
C1281125	entire seminiferous tubule	seminiferous tubule
C1280301	entire tendon of semimembranosus	semimembranosus tendon
C0458677	entire duct of seminal vesicle (body structure)	duct seminal vesicles
C0870300	assessment: cognition	assessment cognition
C1281437	entire sciatic artery	sciatic artery
C1278997	entire scalp	scalping
C1279047	entire scalene lymph node	scalene lymph node
C0222045	integumentary scale	scaled
C0481136	propionic acid derivatives causing adverse effects in therapeutic use	propionic acid derivatives
C0695274	poisoning by propionic acid derivatives	propionic acid derivatives
C0220907	salaried	salari
C0344315	depressed mood	sadding
C1305743	entire erector spinae muscle	sacrospinalis
C1281843	entire sacroiliac region	sacroiliac region
C1269542	entire sacrum	bones sacral
C1148772	rxr activity	rxr
C1276270	entire blood vessel of head	blood head vessels
C1280356	entire round ligament of uterus	round ligament uterus
C0007457	Caucasoid race	whitings
C0043157	Caucasians	whitings
C0220938	white color	whitings
C1280926	entire pharyngeal recess	rosenmuller fossa
C1267214	entire root of nose	root of nose
C1267315	entire right vertebral artery	right vertebral artery
C1267483	entire right renal vein	right renal vein
C1280049	entire right renal pelvis	right renal pelvis
C1267319	entire right posterior cerebral artery	right posterior cerebral artery
C1267298	entire right middle cerebral artery	right middle cerebral artery
C1289023	entire right maxillary sinus	right maxillary sinus
C1280048	entire lower abdominal quadrant	lower quadrant abdominal
C1289034	entire right lateral ventricle	right lateral ventricle
C1278588	entire right internal carotid artery	right internal carotid artery
C1281194	entire right fallopian tube	right fallopian tube
C1283793	entire tubercle of rib	rib tubercle
C1280656	entire neck of rib	neck ribs
C1148821	pancreatic ribonuclease activity	ribonuclease a
C0447764	entire joint of rib	joints rib
C1281419	entire retropubic space	retropubic space
C1281213	entire retropharyngeal area	retropharyngeal space
C1280717	entire retrocecal appendix	retrocecal appendix
C1305222	entire blood vessel of retina	retina vessel
C1281307	entire central retinal artery	retinal central artery
C1280579	entire rete ovarii	rete ovarii
C0549075	assessment: respiration	assessments respiratory
C1283891	entire vomeronasal organ	organ vomeronasal
C1305633	entire posterior tibial muscle tendon	of posterior tibialis tendon
C0022646	kidney	renos
C1305757	entire medulla of kidney	medullas renal
C1278951	entire renal artery	renal arteri
C1305762	entire wisdom tooth	tooth wisdom
C1269542	entire sacrum	bone sacral
C1306491	encounter due to religious discrimination	religious discrimination
C1153338	reduced folate carrier activity	reduced folate carrier
C1279013	entire skin of upper arm	arm skin upper
C1279000	entire skin of breast	of skin breast
C1279153	entire cheek	cheeked
C1150116	chymosin activity	chymosin
C0224130	entire medial rectus	medial rectus
C1288951	entire skin of hand, including finger	fingers hands skin
C1269877	entire skin of calf of leg	calfs skin
C1279014	entire skin of elbow	skin elbow
C1281576	entire shaft of radius	radius shaft
C1279084	entire head of radius	radius head
C1281840	entire ganglion impar	ganglion impar
C0012160	nutritional management	diets therapy
C1288735	entire radial tuberosity	radial tuberosity
C1280318	entire tail of pancreas	pancreas tail
C1281179	entire quadrate lobe of liver	quadrate lobe of liver
C1280774	entire pyloric gland	pyloric glands
C1279000	entire skin of breast	breasts skin
C1152840	purinergic nucleotide receptor activity	purinoceptor
C1281304	entire fetal pupillary membrane	pupillary membrane
C1281005	entire pulvinar	pulvinar
C1279494	entire pulmonic area	pulmonary area
C1305159	entire anulus fibrosus of pulmonary artery	pulmonary annulus
C1267098	entire skeletal muscle of hip	muscle hip
C0448476	entire skeletal muscle of lower leg (body structure)	leg lower muscle
C1280282	entire skeletal muscle of abdomen	muscle abdomen
C1289043	entire left upper eyelid	eyelid left upper
C0243156	psychosocial aspects	psychosocial aspect
C0033910	psychological aspects	aspects psychological
C1275964	entire scalp vein	scalp vein
C1151011	ferrochelatase activity	ferrochelatase
C1278893	entire vitreous body	body vitreous
C0678218	encounter due to fitting and adjustment of prosthesis	prosthesis fitting
C0033107	prevention & control	prophylaxi
C0376691	programs [publication type]	programed
C1280153	entire uterine artery	artery uterine
C1269018	entire profunda femoris artery	profunda femoris artery
C1280229	entire palatine bone	bone palatine
C1280672	entire nasal cavity	cavities nasal
C1149547	laminin receptor activity	laminin receptor
C1289033	entire right ear	ear right
C1281343	entire presacral region	presacral region
C0220899	preoperative procedures aspects	preoperative procedures
C1281072	entire precentral sulcus	precentral sulcus
C1275511	entire preauricular region	preauricular region
C0448536	entire tendon of supraspinatus muscle	tendon supraspinatus
C1305165	entire posterior leaflet of mitral valve	posterior mitral leaflet
C1280080	entire posterior mediastinum	posterior mediastinum
C1305393	entire posterior fossa of cranial cavity	posterior cranial fossa
C1268256	entire left upper arm	arms left
C0447723	entire joint between cervical vertebral bodies (body structure)	joints neck
C1269914	entire popliteus	popliteu
C1278992	entire ovary	and ovary
C0458398	entire pole of kidney (body structure)	kidney pole
C1278841	entire brachial plexus	plexus brachial
C0332461	plaque (lesion)	plaqueing
C0496527	adverse effects in the therapeutic use of plasma substitutes	plasma substitutes
C1280288	entire plantar muscle of foot	foot muscles plantar
C1280534	entire placental cotyledon	placental cotyledon
C1305097	entire talonavicular joint (body structure)	joint talonavicular
C1266909	entire bony skeleton	bones system
C0018271	growth & development	developments growth
C1150363	phosphoglucomutase activity	phosphoglucomutase
C0205464	pharmacological	pharmacologics
C1150906	phenylalanine ammonia-lyase activity	phenylalanine ammonia-lyase
C1283789	entire phalanx of hand	phalanx hand
C1153663	permease activity	permease
C0448795	entire circumorbital skin	periorbital skin
C1280498	entire uterine serosa	perimetrium
C1280725	entire pericolic tissue	pericolic tissue
C1150118	pepsin a activity	pepsin a
C1281154	entire suspensory ligament of penis	ligaments penis suspensory
C0447590	entire penile urethra	penile urethra
C1283904	entire hair shaft	shaft hair
C1281330	entire pelvic vein	pelvic vein
C1280041	entire mid abdomen (surface region)	abdomen mid
C1281348	entire pelvic cavity	cavities pelvic
C1305421	entire skin of palmar area of hand (body structure)	palm skin
C1152812	growth hormone receptor activity	growth hormone receptor
C1280311	entire anterior auricular lymph node	lymph node preauricular
C1304968	entire longus colli	longus colli
C0031847	physiopathological	pathophysiologi
C0205469	pathological aspects	pathologi
C0677042	pathology processes	pathologi
C1281864	entire apex of patella	patella apex
C1282378	entire base of lung	base lung
C1281630	entire right middle ear	right middle ear
C0220818	congenital deformities	deformitis
C1269540	entire paraurethral gland	paraurethral gland
C1279397	entire paratracheal lymph node	tracheal lymph node
C0205468	parasitological	parasitologic
C0521066	parasitic	parasitics
C1281246	entire left tonsil (palatine)	left tonsil
C1280803	entire caudate process of caudate lobe of liver	process caudate lobe liver
C1281778	entire thyroglossal duct	duct thyroglossal
C1269002	entire greater duodenal papilla	papilla of vater
C1150515	pantothenate kinase activity	pantothenate kinase
C1283884	entire endocrine pancreas	pancreas endocrine
C1305002	entire palmaris brevis muscle	palmaris brevis
C1280042	entire right upper quadrant of abdomen	upper right quadrant abdomen
C1280013	entire right ankle	ankle right
C1280042	entire right upper quadrant of abdomen	abdomen quadrant right upper
C1268257	entire right elbow region	elbow right
C1280043	entire left upper quadrant of abdomen	abdomen left quadrant upper
C1268258	entire left elbow region	elbow left
C1305276	entire middle finger	fingers middle
C1279073	entire spine of scapula	scapula spine
C1149091	oxygen sensor activity	oxygen sensor
C0030193	pain	of pain types
C1280141	entire ovarian artery	ovarian artery
C0262950	skeletal bone	bone set
C1281053	entire otic ganglion	otic ganglion
C0224728	entire first metatarsophalangeal joint	first joint metatarsophalangeal
C1305744	entire fetal ossification center	centers ossification
C1280540	entire buccal mucosa	mucosa buccal
C1150833	ornithine decarboxylase activity	ornithine decarboxylase
C1152246	ornithine carbamoyltransferase activity	ornithine carbamoyltransferase
C0262950	skeletal bone	bones organs
C1266908	entire bone (organ)	bones organs
C0687114	organizational structure	organizational structure
C1289170	entire rima oris	oral fissure
C1152771	olfactory receptor activity	olfactory receptor
C1281308	entire optic radiation	optic radiation
C0005839	blood supply aspects	blood supplying
C1150264	omptin activity	omptin
C0456628	degrees fahrenheit	ofs
C0025953	microbiological	microbiologi
C1281306	entire retinal vein	vein retinal
C1281041	entire occipital sinus	occipital sinus
C1280141	entire ovarian artery	artery ovarian
C1305048	entire obturator externus	obturator externus
C1269900	entire oblique popliteal ligament	oblique popliteal ligament
C1305422	entire skin of popliteal fossa	skin back of knee
C1279606	entire left lower leg	left legs
C1305754	entire immune system	immunes system
C0002111	allergy (specialty)	allergying
C0718383	Allergy brand of chlorpheniramine	allergying
C0225079	entire collateral carpal ulnar ligament	collateral ligament ulnar
C1305611	entire body of fourth lumbar vertebra (body structure)	l4 vertebral body
C0728866	drug effects	pharmacologic effects
C1151337	nitrogenase activity	nitrogenase
C0332155	did not receive therapy or drug for	ngs
C0013217	pharmacotherapeutic	drugs therapies
C0027651	neoplasms	growth new
C0001688	adverse effects	effects sided
C0439104	upper case ay	aing
C0439126	lower case ay	aing
C1283911	entire neuromyoarterial glomus	neuromyoarterial glomus
C1269613	entire thumb	thumbing
C0021516	nerve supply	nerves supply
C1278845	entire median nerve	nerve median
C1278852	entire femoral nerve	nerve femoral
C1305734	entire facial nerve	nerve facial
C1149541	cell adhesion molecule activity	cell adhesion molecule
C0447962	entire cranial bone	bone cranial
C1284088	entire neocerebellum	neocerebellum
C0448240	entire tuberosity of navicular bone of foot (body structure)	navicular tuberosity
C1280983	entire nasal vestibule	nasal vestibule
C1289321	entire nasal gland	nasal glands
C1289327	entire nasal fossae	nasal fossae
C1280896	entire anterior naris	nary
C1282604	entire intervertebral space	intervertebral space
C0018563	hand	handing
C1281583	entire hand	handing
C1281533	entire nail root	nail root
C1151932	n-acetyltransferase activity	n-acetyltransferase
C1280898	entire psoas muscle	muscle psoas
C0205467	mycological	mycologi
C0205467	mycological	mycologic
C1275494	entire temporalis muscle	muscle temporalis
C1305061	entire vastus intermedius muscle	intermedius vastus
C0448466	entire skeletal muscle of lower limb (body structure)	muscles of lower limb
C1280275	entire skeletal muscle of trunk	muscle trunk
C1269903	entire posterior crural muscle	muscle calf
C1150191	mitochondrial processing peptidase activity	mpp
C0220807	chemical structure	structure chemical
C0222609	entire gland of montgomery (body structure)	glands montgomery's
C1268257	entire right elbow region	right elbow
C1151829	amine oxidase activity	amine oxidase
C1278585	entire right external carotid artery	artery carotid external right
C1268971	entire tympanic membrane	membrane tympanic
C1150183	mmp-9 activity	mmp-9
C1279495	entire mitral area	mitral area
C1305801	entire atlas vertebra	c1 vertebra
C1305896	entire minor salivary gland	minor salivary gland
C1305907	entire deciduous tooth	milk tooth
C1269061	entire shaft of humerus	shaft humerus
C0458398	entire pole of kidney (body structure)	pole of kidney
C1280955	entire middle meningeal artery	artery meningeal middles
C1267298	entire right middle cerebral artery	middle right cerebral artery
C1281029	entire middle cerebellar peduncle	cerebellar middle peduncles
C1280956	entire cerebellar artery	cerebellar artery
C1280041	entire mid abdomen (surface region)	mid abdomen
C1150496	mevalonate kinase activity	mevalonate kinase
